epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6465,1.38526,3.82421,1.16398,0.00961,0.58403,0.11285,0.07688,1.02632,3.82605,0.93946,0.0002,0.0002,0.0002
2,42.743,1.26157,3.32124,1.08088,0.01193,0.85465,0.17554,0.09991,1.07028,3.62575,0.91865,0.000403235,0.000403235,0.000403235
3,63.6453,1.31981,2.88145,1.09102,0.01284,0.87293,0.19372,0.12392,1.12492,3.38917,0.95245,0.00059954,0.00059954,0.00059954
4,85.2426,1.27756,2.5251,1.10028,0.25273,0.08595,0.20742,0.13781,1.14021,2.98011,0.99664,0.000788915,0.000788915,0.000788915
5,106.998,1.2788,2.26392,1.12214,0.23527,0.18869,0.25081,0.16914,1.10768,2.70646,1.00104,0.000934,0.000934,0.000934
6,128.13,1.23958,2.11224,1.09463,0.36435,0.41876,0.37696,0.24747,1.11798,2.32404,1.03987,0.0009175,0.0009175,0.0009175
7,149.211,1.24986,1.97562,1.11986,0.43792,0.54352,0.48256,0.31876,1.1249,2.15657,1.04629,0.000901,0.000901,0.000901
8,170.65,1.20877,1.81497,1.09179,0.48444,0.50768,0.56383,0.36946,1.06355,1.89504,1.01553,0.0008845,0.0008845,0.0008845
9,191.992,1.22435,1.7494,1.08156,0.62014,0.59895,0.67867,0.44988,1.07253,1.7111,1.02431,0.000868,0.000868,0.000868
10,213.073,1.24163,1.70965,1.08572,0.6506,0.7171,0.74875,0.50872,1.02414,1.57456,1.02297,0.0008515,0.0008515,0.0008515
11,233.885,1.17298,1.61364,1.10217,0.6388,0.72351,0.79099,0.5541,1.02377,1.44195,1.02113,0.000835,0.000835,0.000835
12,254.726,1.11851,1.50368,1.06099,0.68421,0.78332,0.79572,0.55628,1.00379,1.40013,1.00338,0.0008185,0.0008185,0.0008185
13,275.85,1.09488,1.41563,1.026,0.70787,0.80932,0.79814,0.55461,1.04214,1.40984,1.00318,0.000802,0.000802,0.000802
14,297.771,1.11635,1.41074,1.03039,0.75953,0.79774,0.85819,0.59272,1.03518,1.30341,0.97564,0.0007855,0.0007855,0.0007855
15,319.415,1.08226,1.34342,1.01772,0.78052,0.82408,0.8759,0.6195,0.98391,1.24385,0.96749,0.000769,0.000769,0.000769
16,340.505,1.08278,1.33208,1.05603,0.86408,0.85041,0.91326,0.65167,0.97564,1.13858,0.9639,0.0007525,0.0007525,0.0007525
17,362.293,1.0703,1.28564,1.03605,0.87263,0.88431,0.92974,0.64528,1.0267,1.18391,0.98136,0.000736,0.000736,0.000736
18,384.029,1.05793,1.23408,1.0282,0.90692,0.91473,0.94944,0.66911,1.00056,1.1293,0.9806,0.0007195,0.0007195,0.0007195
